size of corpus: 10178

filename	report	source:
P00-1012	 	*
W04-0817	 	*
P00-1007	 	*
P00-1006	 	*
W04-0827	 	*
P11-2119	*	*
W04-0824	 	*
P11-2117	*	*
W04-0822	 	*
W04-0823	 	*
P00-1009	 	*
P11-2115	 	*
P00-1008	 	*
P11-2116	 	*
W04-0821	 	*
W01-1203	 	*
W01-1202	 	*
W01-1205	 	*
W10-4126	 	*
W04-0831	 	*
W04-0832	 	*
W04-0833	 	*
W04-0834	*	*
W04-0837	 	*
W04-0838	 	*
W00-1201	*	*
W00-1206	 	*
W00-1205	 	*
W00-1208	 	*
W00-1207	 	*
W10-4110	*	
W10-4116	 	*
W10-4117	*	
W04-0839	 	*
P11-2103	 	*
P11-2102	 	*
P11-2101	*	*
P11-2100	*	*
W04-0842	 	*
W00-1211	 	*
W04-0848	 	*
W04-0849	 	*
W04-0847	 	*
W10-0901	 	*
W00-1213	 	*
W00-1212	 	*
W00-1219	 	*
W10-0905	 	*
W10-0907	*	*
W91-0110	 	*
W91-0109	 	*
W03-1008	 	*
W03-1009	 	*
W03-1006	 	*
W03-1007	 	*
W04-0858	 	*
W03-1004	*	*
W04-0857	 	*
W03-1005	*	*
W91-0103	*	*
W03-1002	*	*
W91-0104	 	*
W03-1003	 	*
W91-0105	*	
W03-1001	*	*
W04-0856	 	*
W91-0108	*	*
W10-4173	 	*
W12-4515	*	
W12-4514	*	
W12-4513	 	*
W12-4511	 	*
W12-4510	*	
W04-0864	 	*
J98-4003	 	*
J98-4002	*	*
J98-4001	*	
J98-4004	 	*
W12-4507	 	*
W97-0910	 	*
W12-4509	*	*
W03-1028	 	*
W12-4508	*	
W12-4503	*	*
W12-4502	 	*
W12-4504	 	*
W03-1022	 	*
W03-1023	*	*
W12-4501	*	*
W03-1020	 	*
W03-1021	 	*
W03-1026	*	*
W03-1024	*	*
W03-1025	*	*
P12-1103	*	
P12-1101	*	*
P12-1100	*	*
W11-1501	 	*
W03-1017	 	*
W03-1018	 	*
W03-1019	 	*
W10-4150	*	
W03-1011	 	*
W03-1012	 	*
W03-1013	*	*
W91-0115	*	
W03-1014	*	*
W91-0112	*	
W03-1015	*	*
W91-0113	*	
W03-1016	 	*
P10-5002	 	*
P10-5004	 	*
W09-3611	 	*
C90-2074	 	*
W09-3610	 	*
P12-1109	*	*
P12-1108	*	
P12-1107	*	*
P12-1106	*	
P12-1105	*	*
C90-2063	 	*
C90-2064	 	*
C90-2060	 	*
P08-1001	 	*
C90-2067	 	*
P08-1003	*	*
P08-1002	*	*
P08-1005	 	*
P08-1004	*	*
P12-1111	*	
P08-1007	*	*
P08-1006	*	*
P08-1009	*	*
P12-1110	*	*
P08-1008	 	*
J94-1002	 	*
J94-1001	*	
J94-1004	 	*
J94-1003	 	*
W09-0905	*	
C90-2050	 	*
J04-1005	 	*
C90-2051	 	*
J04-1004	*	*
J04-1003	*	*
C90-2052	 	*
J04-1002	 	*
P08-1012	*	*
P08-1011	*	
P08-1010	*	*
P00-1071	 	*
W07-2081	 	*
P00-1073	 	*
W07-2084	 	*
W07-2086	 	*
P08-1019	 	*
W07-2085	 	*
W07-2087	 	*
P08-1017	 	*
P08-1016	 	*
W09-3603	 	*
W09-3604	 	*
W09-3607	 	*
W06-2001	 	*
C90-2041	 	*
C90-2040	 	*
W06-2006	 	*
P08-1023	*	*
W06-2007	*	*
P08-1022	*	*
C90-2045	 	*
C90-2044	 	*
P08-1025	*	*
C90-2043	 	*
P08-1024	*	*
W06-2002	 	*
W07-2093	 	*
W06-2003	 	*
C90-2048	 	*
W07-2091	 	*
P08-1021	 	*
P08-1020	 	*
W06-2005	*	
C90-2047	 	*
W07-2097	 	*
W07-2095	 	*
W07-2094	 	*
P08-1027	*	*
P08-1026	*	*
P08-1029	*	*
W07-2098	 	*
P08-1028	 	*
W00-0501	 	*
C90-2030	 	*
W03-2003	 	*
W04-0902	 	*
W07-2069	 	*
W13-1911	*	
W10-4216	*	*
P00-1056	 	*
W13-1906	*	
W10-4217	*	*
W99-0202	 	*
W10-4214	*	
W13-1905	*	
P00-1058	*	*
W99-0201	 	*
W07-2067	 	*
W07-2068	 	*
P00-1057	 	*
P06-3010	 	*
W07-2061	 	*
W12-2412	*	*
P00-1052	*	*
W99-0207	*	*
P00-1051	*	*
W99-0206	 	*
W99-0205	 	*
P00-1054	 	*
P00-1053	 	*
P06-3014	*	
C90-2036	 	*
C90-2037	 	*
P00-1050	 	*
W12-2410	*	*
W02-1706	 	*
W07-2060	 	*
C90-2039	 	*
W10-4212	 	*
W10-4213	 	*
C90-2033	 	*
W10-4210	 	*
W10-4211	*	*
W02-1701	 	*
P00-1059	 	*
W99-0212	 	*
P00-1069	 	*
W07-2079	 	*
W10-4226	 	*
W99-0211	 	*
P00-1067	 	*
W07-2077	 	*
W99-0213	 	*
P00-1065	*	*
W07-2074	 	*
P00-1064	 	*
W07-2075	 	*
W07-2072	 	*
C90-2029	 	*
P00-1062	 	*
W07-2070	 	*
P00-1061	*	*
W07-2071	 	*
C90-2028	 	*
W99-0210	 	*
W10-4223	*	*
C90-2022	 	*
P00-1026	 	*
W07-2048	*	*
W09-2105	 	*
W07-2047	 	*
P00-1027	 	*
W09-2107	 	*
W07-2049	 	*
W09-2108	 	*
C90-2018	 	*
C90-2019	 	*
W07-2041	 	*
P00-1031	 	*
P00-1034	 	*
W07-2044	*	*
W07-2045	 	*
P00-1036	 	*
W07-2046	 	*
P00-1035	 	*
C90-2015	 	*
P88-1026	 	*
P88-1027	 	*
P88-1029	 	*
P00-1039	 	*
P00-1037	 	*
W13-1903	*	
P00-1038	 	*
W07-2058	 	*
W04-0910	 	*
P11-2128	*	
P11-2127	*	
P11-2126	*	*
W10-4207	 	*
W07-2052	 	*
C90-2009	 	*
P00-1043	 	*
P06-3002	 	*
P06-3003	 	*
W12-2404	 	*
W07-2053	 	*
W09-2110	 	*
P00-1042	 	*
C90-2007	 	*
W07-2050	 	*
P00-1041	 	*
W07-2051	 	*
C90-2008	 	*
W10-4203	 	*
W04-0907	 	*
P00-1046	 	*
W07-2057	*	*
W10-4204	 	*
W10-4205	*	
W07-2054	*	*
W09-2111	*	*
W10-4206	*	
W09-2112	*	*
W04-0906	 	*
P88-1030	 	*
W00-0507	 	*
C90-2002	 	*
W00-0508	 	*
W10-4201	 	*
P88-1032	 	*
P88-1031	 	*
P06-3009	 	*
W10-4202	 	*
P06-3007	 	*
C90-2006	 	*
P06-3004	 	*
P88-1035	 	*
P88-1022	 	*
P08-1074	 	*
P08-1073	 	*
P88-1024	 	*
P08-2007	 	*
P08-1076	*	*
P88-1025	 	*
P08-2008	 	*
P08-2009	 	*
P08-1078	*	*
P08-1077	*	*
W05-0829	 	*
P88-1020	 	*
P88-1021	 	*
P08-1079	*	*
W07-2024	 	*
E09-1019	 	*
W07-2022	 	*
E09-1018	*	*
E09-1017	*	*
P08-2002	 	*
W10-2010	 	*
P08-2003	 	*
E09-1014	 	*
D12-1009	 	*
E09-1013	 	*
E09-1022	 	*
W05-0831	*	*
E09-1023	*	*
D12-1008	 	*
W07-2029	 	*
D12-1005	 	*
E09-1020	*	*
E09-1021	*	*
D12-1006	*	*
D12-1003	*	*
W07-2028	 	*
W07-2025	 	*
D12-1001	*	*
D12-1002	*	
P88-1019	 	*
W05-0836	 	*
P88-1016	 	*
W05-0835	 	*
W05-0834	 	*
P88-1015	 	*
P08-1070	*	*
W05-0833	 	*
P88-1018	 	*
P08-2018	 	*
P08-1087	*	*
P08-2019	 	*
P88-1014	 	*
P08-1086	 	*
W02-0606	 	*
P08-1085	*	*
P88-1011	 	*
P08-2016	 	*
W02-0608	 	*
P08-2017	 	*
P08-1084	*	*
P88-1012	 	*
W05-0818	 	*
P88-1010	 	*
W05-0819	 	*
P08-1089	*	*
P08-1088	*	*
W07-2033	 	*
P08-2010	 	*
E09-1006	*	*
P08-2011	*	*
E09-1009	 	*
W07-2034	 	*
E09-1008	 	*
P08-2014	 	*
E09-1003	*	*
P08-2015	*	*
E09-1005	*	*
P08-2012	*	*
W07-2031	 	*
E09-1004	*	*
D12-1016	*	*
D12-1017	*	
E09-1011	*	*
D12-1018	*	*
W05-0820	 	*
E09-1012	 	*
D12-1019	 	*
W07-2037	 	*
D12-1013	*	*
W07-2039	 	*
D12-1015	*	
W05-0826	 	*
D12-1010	*	
W05-0828	 	*
D12-1011	*	
W05-0827	 	*
W05-0822	 	*
P08-1082	*	*
P08-1083	*	*
W05-0821	 	*
W05-0824	 	*
P08-1080	 	*
P88-1005	 	*
W05-0823	 	*
P08-1081	*	*
W05-0809	*	*
P08-1099	 	*
W05-0807	*	
W05-0808	 	*
P08-2027	 	*
P08-1096	*	*
P08-2028	 	*
P08-1095	 	*
P08-1098	*	*
P08-2029	 	*
P88-1003	 	*
P08-1097	*	*
P08-2023	*	
W98-0609	 	*
P08-2026	 	*
W98-0607	 	*
W07-2002	*	*
P08-2020	 	*
P08-2021	 	*
H05-2017	 	*
W98-0604	 	*
H05-2018	 	*
W07-2005	 	*
W07-0403	*	*
W07-0404	 	*
W07-2006	 	*
W07-2003	*	*
W07-0401	*	*
W07-0402	 	*
W07-2004	 	*
W07-2009	 	*
E09-1001	 	*
W07-2007	*	*
W07-2008	 	*
W05-0813	 	*
P08-1091	*	*
W02-0604	 	*
W05-0812	*	*
P08-1092	 	*
W02-0605	 	*
W07-0409	 	*
P08-1093	 	*
W05-0811	 	*
W02-0602	 	*
W02-0603	 	*
P08-1094	 	*
W05-0810	 	*
W07-0407	*	
W05-0817	 	*
W07-0408	*	
W05-0816	*	*
W02-0601	 	*
W07-0405	*	*
W05-0815	 	*
P08-1090	*	*
W05-0814	 	*
P08-2038	 	*
P08-2039	 	*
P08-2036	 	*
P08-2034	 	*
H05-2005	 	*
P08-2035	 	*
W07-2011	 	*
W07-2010	 	*
H05-2007	 	*
P08-2033	 	*
W07-2013	 	*
P08-2030	 	*
W07-2012	 	*
W07-0412	*	*
W07-2014	 	*
W07-0413	 	*
W07-2016	*	*
W07-0414	*	*
W07-2017	 	*
W07-2018	 	*
W07-0411	*	*
W05-0802	 	*
W05-0801	*	*
W05-0804	 	*
W05-0803	*	
P08-2042	 	*
P08-1037	*	*
E06-1040	*	*
P08-1038	 	*
E06-1042	 	*
P08-1039	*	*
E06-1041	 	*
J80-3003	 	*
P08-2045	 	*
P08-2047	 	*
P08-1030	 	*
P08-2049	 	*
P08-1031	 	*
P08-1032	 	*
P08-1033	 	*
P08-1034	*	*
P08-1035	*	*
P08-1036	 	*
I08-3007	 	*
I08-3008	 	*
J98-1006	*	*
J98-1005	 	*
J98-1004	*	*
J98-1003	*	*
J98-1002	*	*
E06-1038	 	*
J98-1001	*	*
E06-1039	 	*
E06-1032	*	*
E06-1034	 	*
P08-2040	 	*
E06-1035	 	*
P08-2055	 	*
P08-2054	 	*
E06-1052	 	*
P08-2053	 	*
E06-1051	 	*
E06-1050	*	*
P08-1049	*	*
P08-2052	 	*
P08-2059	 	*
J99-3001	*	*
P08-2057	 	*
J99-3002	*	
J99-3003	 	*
P08-2056	 	*
P08-1042	*	*
P08-1043	*	*
P08-1040	*	*
P08-1041	*	*
P08-1046	 	*
J04-1001	*	*
P08-1047	*	*
P08-1045	 	*
E06-1049	 	*
E06-1047	 	*
E06-1048	 	*
E06-1045	 	*
P08-2050	 	*
P08-2051	 	*
E06-1043	*	*
P08-2068	 	*
P08-2067	 	*
P08-1059	*	*
P08-2064	 	*
P08-2063	 	*
P08-2065	 	*
P08-1055	 	*
P08-1057	*	*
P08-1058	 	*
P08-1051	 	*
P08-1052	*	*
E06-1018	 	*
E06-1019	*	*
P08-1050	*	*
E06-1010	*	*
P08-2060	 	*
E06-1011	 	*
E06-1012	*	*
P08-2062	 	*
E06-1014	 	*
E06-1015	*	*
E06-1016	 	*
E06-1031	 	*
E06-1030	 	*
P08-1068	*	*
P08-1069	 	*
P08-1066	*	*
W10-2009	 	*
P08-1067	*	*
W10-2004	*	
P08-1064	*	*
P08-1065	 	*
P08-1063	 	*
P08-1061	*	*
P08-1060	*	*
E06-1029	*	*
E06-1021	 	*
E06-1022	 	*
E06-1027	 	*
E06-1025	*	*
E06-1026	 	*
D12-1077	*	*
C88-2144	 	*
E91-1040	 	*
D12-1074	*	*
D12-1075	*	*
C88-2146	 	*
C88-2147	 	*
W91-0209	 	*
E91-1044	 	*
D12-1070	*	
E91-1043	*	*
D12-1071	*	
W91-0208	 	*
D12-1078	*	*
D12-1079	*	*
W11-0144	 	*
W11-0141	*	
J01-1001	 	*
D12-1080	*	*
J01-1002	*	*
W11-0149	 	*
E91-1048	 	*
J01-1005	 	*
W11-0146	 	*
J01-1003	*	*
J01-1004	*	*
D12-1063	*	*
E91-1051	 	*
D12-1064	 	*
E91-1050	 	*
D12-1065	 	*
C88-2154	 	*
D12-1066	*	*
C88-2155	 	*
E91-1055	 	*
D12-1061	 	*
D12-1062	 	*
C88-2159	 	*
D12-1067	*	*
D12-1068	*	
D12-1069	*	*
C88-2150	 	*
D12-1094	*	*
D12-1095	*	
D12-1092	*	*
D12-1093	*	*
D12-1098	*	*
D12-1099	*	
D12-1096	*	*
D12-1097	*	*
C88-2160	 	*
D12-1081	*	
D12-1082	*	*
D12-1083	*	*
D12-1084	*	
D12-1085	*	*
D12-1086	*	*
D12-1087	 	*
D12-1089	*	*
D12-1091	*	*
D12-1090	*	
D12-1039	*	*
D12-1038	*	*
D12-1037	*	
D12-1035	 	*
D12-1034	*	*
D12-1032	*	*
D12-1031	*	*
D12-1030	*	*
E91-1002	 	*
E91-1004	 	*
W11-0106	*	*
W11-0103	*	*
E91-1006	 	*
W11-0104	 	*
E91-1005	 	*
E91-1008	 	*
E91-1007	 	*
D12-1028	*	*
D12-1027	*	
D12-1029	*	*
D12-1024	 	*
D12-1023	*	
D12-1026	*	*
D12-1025	 	*
W13-3010	*	
D12-1022	*	*
D12-1021	*	*
E91-1011	 	*
W11-0116	*	*
E91-1015	 	*
E91-1013	 	*
E91-1012	 	*
W11-0112	 	*
W11-0114	 	*
E91-1016	 	*
W11-0115	 	*
W06-0503	 	*
W11-0110	 	*
W06-0505	*	
W11-0111	 	*
W06-0507	*	*
W06-0508	 	*
D12-1058	*	*
D12-1057	*	*
D12-1051	*	
D12-1050	*	*
D12-1055	 	*
D12-1052	*	*
E91-1028	 	*
W11-0126	 	*
W11-0123	 	*
E91-1024	 	*
E91-1023	 	*
W11-0128	 	*
W11-0122	 	*
W11-0120	 	*
D12-1046	*	*
D12-1045	*	*
D12-1048	*	*
D12-1047	*	
D12-1049	 	*
E91-1030	 	*
D12-1040	*	*
D12-1042	 	*
D12-1041	*	*
D12-1044	*	*
E91-1039	 	*
E91-1038	 	*
E91-1037	*	
W11-0130	 	*
W11-0131	*	*
W11-0133	 	*
W12-0304	*	
W03-2111	 	*
W00-1322	*	*
C10-1050	*	*
C10-1051	*	*
W00-1325	*	*
C10-1052	 	*
W00-1327	*	*
W00-1326	*	*
C10-1057	*	*
C10-1058	 	*
W03-2117	 	*
C10-1059	*	*
C10-1053	*	*
C10-1054	*	
C10-1055	*	
W00-1320	*	*
C10-1056	 	*
W10-4237	*	*
W10-4236	 	*
W10-4235	*	
W10-4234	 	*
C10-1062	 	*
W00-0603	 	*
C10-1063	 	*
C10-1060	 	*
W00-0601	 	*
C10-1061	*	*
W03-2102	 	*
C10-1068	 	*
C10-1069	 	*
C10-1066	*	
C10-1064	*	*
C10-1065	*	*
J13-1004	*	*
J13-1005	*	*
C10-1039	*	*
J13-1006	*	
J13-1007	*	*
J13-1002	 	*
J13-1003	*	*
W01-1309	 	*
J13-1008	*	*
J13-1009	*	*
W01-1315	 	*
W00-1305	 	*
W00-1304	*	*
W01-1313	 	*
W00-1307	*	*
W01-1312	 	*
W00-1306	*	*
W00-1301	 	*
W00-1303	 	*
C10-1030	*	
W00-1302	*	*
C10-1031	*	*
C10-1032	 	*
C10-1033	*	
C10-1034	 	*
W01-1311	 	*
C10-1035	*	*
C10-1036	*	*
C10-1037	*	*
J07-4005	*	*
J97-1005	*	*
P11-2004	 	*
W93-0301	 	*
J97-1004	 	*
P11-2003	*	
J07-4004	*	*
J97-1007	 	*
J97-1006	*	*
J07-4001	*	
W93-0305	 	*
W93-0306	 	*
J07-4003	*	*
W93-0307	 	*
J07-4002	*	*
W93-0309	 	*
J97-1001	*	
W00-1308	 	*
J97-1003	*	*
J97-1002	 	*
W00-1309	 	*
W00-1317	 	*
W00-1316	 	*
W00-1314	 	*
C10-1040	*	*
C10-1041	*	
W10-0801	 	*
W10-0804	 	*
C10-1044	 	*
C10-1045	*	*
C10-1043	*	*
C10-1049	 	*
C10-1046	*	
W93-0310	 	*
P90-1028	 	*
P90-1027	 	*
P90-1022	 	*
P90-1021	 	*
P90-1024	 	*
P90-1023	 	*
P90-1020	 	*
W11-1610	*	*
W11-1611	*	*
J06-4002	*	*
W11-1609	*	
W11-1606	*	*
M91-1035	 	*
C10-1097	*	
W11-1605	*	*
M91-1036	 	*
W11-1608	 	*
J06-4004	*	*
W11-1607	*	*
J06-4003	*	*
C88-1054	 	*
M91-1030	 	*
C10-1094	*	*
C10-1096	 	*
C88-1056	 	*
C10-1095	*	
M91-1033	 	*
C88-1057	 	*
C10-1090	*	
C10-1092	 	*
P90-1037	 	*
P90-1035	 	*
P90-1034	 	*
P90-1033	 	*
P90-1032	 	*
P90-1031	 	*
P90-1030	 	*
C88-1060	 	*
M91-1028	 	*
C88-1064	 	*
C88-1061	 	*
M91-1022	 	*
P90-1004	 	*
P90-1003	 	*
P90-1006	 	*
P90-1005	 	*
C04-1097	 	*
C04-1096	 	*
P90-1002	 	*
P90-1001	 	*
C10-1076	*	*
C10-1075	*	*
C88-1074	 	*
C10-1078	*	*
C10-1077	 	*
C88-1075	 	*
C10-1079	*	*
C88-1071	 	*
C10-1070	*	*
C10-1072	*	
C10-1071	 	*
C10-1074	*	*
C10-1073	*	*
P90-1017	 	*
P90-1014	 	*
P90-1018	 	*
W11-1603	 	*
P90-1013	 	*
W11-1604	*	
W11-1601	*	*
W11-1602	*	
P90-1010	 	*
M91-1003	 	*
C10-1089	 	*
M91-1004	 	*
C10-1088	*	*
C10-1087	 	*
M91-1001	 	*
M91-1002	 	*
W91-0212	 	*
C88-1081	 	*
C10-1081	*	*
C10-1080	*	*
C10-1085	*	*
C10-1084	*	*
C10-1082	*	
C88-1026	 	*
J94-4001	 	*
C04-1093	 	*
W06-2110	*	*
J94-4003	*	*
C04-1090	*	*
J94-4002	*	*
C88-1021	 	*
C88-1024	 	*
C88-1023	 	*
W02-1610	*	*
W09-3712	 	*
W09-3711	 	*
J94-4005	*	*
J94-4004	*	*
W09-3715	 	*
J94-4006	*	
W09-3714	 	*
P11-2067	*	
P11-2069	*	*
P11-2064	 	*
P11-2066	*	
P11-2065	 	*
C04-1089	*	*
P11-2062	 	*
C04-1088	 	*
P11-2061	 	*
C88-1029	 	*
C04-1086	 	*
W06-2112	*	*
C04-1084	 	*
W02-1604	*	
C04-1080	 	*
C88-1017	 	*
C88-1016	 	*
C04-1081	*	*
C88-1013	 	*
C88-1012	*	*
W02-1601	*	
P11-2049	*	*
W09-3727	 	*
P11-2057	 	*
P11-2056	*	*
P11-2055	*	*
P11-2052	*	*
P11-2051	*	*
C04-1078	 	*
C04-1079	 	*
C04-1072	 	*
C04-1073	 	*
C04-1074	*	
C88-1018	 	*
C04-1075	*	*
C04-1071	 	*
W09-2207	*	
W09-2208	 	*
W09-2209	 	*
W09-3734	 	*
C88-1042	 	*
W09-2205	*	
W09-2206	 	*
P11-2085	*	
P91-1036	 	*
P11-2088	 	*
P11-2087	*	*
W09-2201	*	*
P91-1034	 	*
P91-1031	 	*
P11-2089	*	*
P91-1032	 	*
P91-1030	 	*
P11-2080	*	*
P11-2082	*	*
C04-1067	*	*
P11-2081	 	*
P11-2084	 	*
P11-2083	*	*
C04-1066	*	*
C04-1060	*	*
C88-1037	 	*
W09-3740	 	*
P11-2076	*	
C04-1059	 	*
W10-4302	 	*
P11-2075	 	*
W09-2211	*	
W10-4305	 	*
W12-2504	*	*
P11-2074	*	*
P91-1047	 	*
P91-1040	 	*
P91-1041	 	*
W12-2502	 	*
W12-2501	*	
P91-1042	 	*
P11-2078	 	*
W10-4308	 	*
C04-1051	 	*
C04-1052	 	*
C04-1053	*	*
P11-2073	*	
P91-1049	 	*
P11-2072	*	*
W06-2106	 	*
C04-1055	 	*
W10-4301	 	*
C04-1056	 	*
P11-2071	*	*
P11-2070	 	*
C04-1057	*	*
C10-1021	 	*
C10-1022	*	
P11-2017	 	*
P11-2016	 	*
C10-1027	 	*
P11-2019	 	*
C10-1026	*	*
P11-2018	*	*
C04-1046	 	*
C04-1045	 	*
W10-4310	 	*
C04-1042	 	*
C04-1041	*	*
C04-1040	*	*
C10-1028	*	
W99-0306	 	*
P11-2024	 	*
C10-1029	*	
W12-2513	 	*
P11-2025	 	*
W12-2514	 	*
P11-2026	*	*
W99-0302	 	*
C04-1048	 	*
C04-1047	 	*
P11-2022	 	*
C10-1012	*	*
C10-1011	*	*
P11-2009	 	*
W99-0307	 	*
P11-2008	 	*
P11-2007	 	*
P11-2006	*	
W99-0309	 	*
C10-1014	 	*
C04-1033	*	*
C04-1032	*	*
C04-1034	*	
C04-1031	 	*
C04-1030	*	*
P11-2014	 	*
C10-1019	*	*
C10-1017	*	*
P11-2013	 	*
C10-1018	*	*
P11-2010	 	*
W10-4324	 	*
C04-1036	 	*
W10-4327	 	*
C10-1003	*	*
C10-1002	 	*
P11-2038	*	*
C10-1005	 	*
C10-1004	*	*
W03-2123	 	*
C88-1002	 	*
W03-2120	 	*
C88-1006	 	*
C04-1020	 	*
C88-1008	 	*
C88-1007	 	*
C04-1024	 	*
C04-1022	 	*
C04-1021	 	*
P11-2040	 	*
P11-2041	 	*
P11-2042	 	*
C04-1026	 	*
W10-4336	 	*
P11-2044	*	*
P11-2045	*	
C10-1007	*	*
P11-2047	 	*
C10-1008	*	
C10-1009	*	*
P11-2048	*	*
P11-2029	*	
P11-2028	*	*
J05-4005	*	*
J05-4004	*	*
J05-4003	*	*
J05-4002	*	*
W10-4342	 	*
C04-1011	 	*
C04-1010	*	*
W00-0605	 	*
C04-1012	 	*
P11-2032	*	*
C04-1015	*	*
C04-1014	 	*
P11-2033	*	*
P11-2030	*	
P11-2031	*	*
P11-2036	 	*
P11-2037	*	*
C04-1018	 	*
P11-2034	*	*
P11-2035	*	*
C04-1007	 	*
C04-1008	 	*
D12-1109	*	*
D12-1108	*	*
C04-1004	 	*
C04-1005	*	
C04-1006	*	*
C04-1002	*	*
D12-1102	*	*
D12-1103	 	*
D12-1100	*	*
D12-1106	*	*
D12-1107	*	*
D12-1104	*	*
D12-1105	*	*
D12-1119	*	
J06-1004	 	*
J06-1005	*	*
H90-1004	 	*
D12-1110	*	*
D12-1111	*	*
D12-1112	 	*
D12-1113	*	*
D12-1114	*	*
D12-1115	 	*
D12-1116	*	*
D12-1118	*	
W98-0705	 	*
W98-0704	 	*
W98-0703	*	*
W98-0702	 	*
W98-0707	 	*
W98-0706	 	*
D12-1120	*	
J06-1003	*	*
W02-0502	 	*
J06-1002	*	
D12-1121	*	*
W02-0505	 	*
W02-0506	 	*
W02-0504	 	*
D12-1128	*	*
D12-1129	*	*
D12-1126	*	
D12-1127	*	*
W98-0711	*	
W98-0712	 	*
D12-1125	*	*
D12-1122	*	*
D12-1123	*	*
W98-0713	 	*
W98-0717	 	*
W98-0719	 	*
H90-1023	 	*
H90-1024	 	*
H90-1021	 	*
H90-1022	 	*
H90-1020	 	*
D12-1130	 	*
D12-1131	*	*
D12-1132	*	*
J94-2001	*	*
D12-1137	 	*
J94-2004	 	*
D12-1139	*	*
J94-2002	 	*
J94-2003	*	*
D12-1133	*	*
W98-0720	 	*
J94-2006	 	*
D12-1136	 	*
H90-1051	 	*
J95-1003	 	*
J95-1002	*	*
H90-1053	 	*
H90-1052	 	*
J95-1004	 	*
C88-2118	 	*
H90-1055	 	*
H90-1054	 	*
H90-1056	 	*
J95-1001	 	*
C88-2110	 	*
P11-2093	*	*
P11-2094	 	*
P11-2095	 	*
P11-2096	*	*
P11-2098	 	*
P11-2099	 	*
C88-2100	 	*
W05-0909	 	*
W06-1008	 	*
W05-0908	*	*
W05-0907	 	*
W06-1006	*	
W05-0906	*	*
E09-1100	 	*
C88-2133	 	*
C88-2132	 	*
W09-0805	*	*
W09-0806	*	*
W09-0809	*	*
W10-2102	 	*
W10-2105	*	
W10-2108	 	*
W10-2101	*	
C88-2120	 	*
W05-0903	 	*
W05-0904	 	*
W05-0905	 	*
C88-2121	 	*
C88-2128	 	*
H90-1069	 	*
C88-2125	 	*
W05-0901	*	*
W13-0907	*	*
W13-0909	*	
W13-0904	*	*
W13-0905	*	
J91-3004	 	*
J91-3002	 	*
J91-3003	 	*
W13-0901	 	*
D10-1125	*	*
M98-1006	 	*
D10-1124	 	*
M98-1007	 	*
D10-1121	*	*
M98-1002	 	*
M98-1003	 	*
D10-1120	*	*
D10-1123	*	*
M98-1001	 	*
D10-1122	*	*
M98-1009	 	*
W00-1401	 	*
W00-1403	*	
P08-4003	*	*
P08-4006	 	*
W00-1408	 	*
W00-1407	 	*
P08-4009	 	*
W00-1411	*	*
W00-1414	*	
